[2020-09-29 16:01:21,415] INFO - Some torch.cuda functionality unavailable
[2020-09-29 16:01:33,962] INFO - Epoch [1/80], Step [100/500] Loss: 2.0414
[2020-09-29 16:01:45,605] INFO - Epoch [1/80], Step [200/500] Loss: 2.0482
[2020-09-29 16:01:56,757] INFO - Epoch [1/80], Step [300/500] Loss: 1.7679
[2020-09-29 16:02:07,896] INFO - Epoch [1/80], Step [400/500] Loss: 1.6828
[2020-09-29 16:02:18,936] INFO - Epoch [1/80], Step [500/500] Loss: 1.5120
[2020-09-29 16:02:29,996] INFO - Epoch [2/80], Step [100/500] Loss: 1.6432
[2020-09-29 16:02:41,058] INFO - Epoch [2/80], Step [200/500] Loss: 1.5235
[2020-09-29 16:02:52,153] INFO - Epoch [2/80], Step [300/500] Loss: 1.4548
[2020-09-29 16:03:03,246] INFO - Epoch [2/80], Step [400/500] Loss: 1.5613
[2020-09-29 16:03:14,419] INFO - Epoch [2/80], Step [500/500] Loss: 1.5984
[2020-09-29 16:03:25,484] INFO - Epoch [3/80], Step [100/500] Loss: 1.6236
[2020-09-29 16:03:36,576] INFO - Epoch [3/80], Step [200/500] Loss: 1.4461
[2020-09-29 16:03:47,688] INFO - Epoch [3/80], Step [300/500] Loss: 1.3794
[2020-09-29 16:03:58,852] INFO - Epoch [3/80], Step [400/500] Loss: 1.4191
[2020-09-29 16:04:09,897] INFO - Epoch [3/80], Step [500/500] Loss: 1.3582
[2020-09-29 16:04:21,004] INFO - Epoch [4/80], Step [100/500] Loss: 1.3037
[2020-09-29 16:04:32,042] INFO - Epoch [4/80], Step [200/500] Loss: 1.3098
[2020-09-29 16:04:43,081] INFO - Epoch [4/80], Step [300/500] Loss: 1.1858
[2020-09-29 16:04:54,155] INFO - Epoch [4/80], Step [400/500] Loss: 1.4377
[2020-09-29 16:05:05,270] INFO - Epoch [4/80], Step [500/500] Loss: 1.3748
[2020-09-29 16:05:16,346] INFO - Epoch [5/80], Step [100/500] Loss: 1.1907
[2020-09-29 16:05:27,393] INFO - Epoch [5/80], Step [200/500] Loss: 1.3781
[2020-09-29 16:05:38,440] INFO - Epoch [5/80], Step [300/500] Loss: 1.1204
[2020-09-29 16:05:49,517] INFO - Epoch [5/80], Step [400/500] Loss: 1.1074
[2020-09-29 16:06:00,565] INFO - Epoch [5/80], Step [500/500] Loss: 1.2565
[2020-09-29 16:06:11,614] INFO - Epoch [6/80], Step [100/500] Loss: 1.3160
[2020-09-29 16:06:22,734] INFO - Epoch [6/80], Step [200/500] Loss: 1.2145
[2020-09-29 16:06:33,814] INFO - Epoch [6/80], Step [300/500] Loss: 1.1672
[2020-09-29 16:06:44,966] INFO - Epoch [6/80], Step [400/500] Loss: 1.2913
[2020-09-29 16:06:56,033] INFO - Epoch [6/80], Step [500/500] Loss: 1.3146
[2020-09-29 16:07:07,092] INFO - Epoch [7/80], Step [100/500] Loss: 1.1172
[2020-09-29 16:07:18,194] INFO - Epoch [7/80], Step [200/500] Loss: 1.1732
[2020-09-29 16:07:29,319] INFO - Epoch [7/80], Step [300/500] Loss: 1.1997
[2020-09-29 16:07:40,381] INFO - Epoch [7/80], Step [400/500] Loss: 1.1548
[2020-09-29 16:07:51,468] INFO - Epoch [7/80], Step [500/500] Loss: 1.2265
[2020-09-29 16:08:02,594] INFO - Epoch [8/80], Step [100/500] Loss: 1.2181
[2020-09-29 16:08:13,629] INFO - Epoch [8/80], Step [200/500] Loss: 1.1004
[2020-09-29 16:08:24,798] INFO - Epoch [8/80], Step [300/500] Loss: 1.3362
[2020-09-29 16:08:35,902] INFO - Epoch [8/80], Step [400/500] Loss: 0.9914
[2020-09-29 16:08:47,014] INFO - Epoch [8/80], Step [500/500] Loss: 1.1995
[2020-09-29 16:08:58,073] INFO - Epoch [9/80], Step [100/500] Loss: 1.6385
[2020-09-29 16:09:09,259] INFO - Epoch [9/80], Step [200/500] Loss: 1.3427
[2020-09-29 16:09:20,293] INFO - Epoch [9/80], Step [300/500] Loss: 1.4801
