[2020-09-29 17:01:14,523] INFO - Some torch.cuda functionality unavailable
[2020-09-29 17:01:45,805] INFO - Epoch [1/80], Step [100/500] Loss: 1.5906
[2020-09-29 17:02:04,170] INFO - Epoch [1/80], Step [200/500] Loss: 1.7522
[2020-09-29 17:02:22,458] INFO - Epoch [1/80], Step [300/500] Loss: 1.4929
[2020-09-29 17:02:40,718] INFO - Epoch [1/80], Step [400/500] Loss: 1.4971
[2020-09-29 17:02:58,968] INFO - Epoch [1/80], Step [500/500] Loss: 1.3120
[2020-09-29 17:03:17,299] INFO - Epoch [2/80], Step [100/500] Loss: 1.2449
[2020-09-29 17:03:35,639] INFO - Epoch [2/80], Step [200/500] Loss: 1.5035
[2020-09-29 17:03:53,895] INFO - Epoch [2/80], Step [300/500] Loss: 1.1123
[2020-09-29 17:04:12,220] INFO - Epoch [2/80], Step [400/500] Loss: 1.1038
[2020-09-29 17:04:30,421] INFO - Epoch [2/80], Step [500/500] Loss: 1.4325
[2020-09-29 17:04:48,607] INFO - Epoch [3/80], Step [100/500] Loss: 1.0643
[2020-09-29 17:05:06,795] INFO - Epoch [3/80], Step [200/500] Loss: 1.1783
[2020-09-29 17:05:25,033] INFO - Epoch [3/80], Step [300/500] Loss: 1.0894
[2020-09-29 17:05:43,296] INFO - Epoch [3/80], Step [400/500] Loss: 1.1162
[2020-09-29 17:06:01,471] INFO - Epoch [3/80], Step [500/500] Loss: 1.1021
[2020-09-29 17:06:19,646] INFO - Epoch [4/80], Step [100/500] Loss: 1.0872
[2020-09-29 17:06:37,834] INFO - Epoch [4/80], Step [200/500] Loss: 0.9108
[2020-09-29 17:06:56,038] INFO - Epoch [4/80], Step [300/500] Loss: 0.9492
[2020-09-29 17:07:14,282] INFO - Epoch [4/80], Step [400/500] Loss: 1.0691
[2020-09-29 17:07:32,479] INFO - Epoch [4/80], Step [500/500] Loss: 0.9241
[2020-09-29 17:07:50,662] INFO - Epoch [5/80], Step [100/500] Loss: 0.8048
[2020-09-29 17:08:08,832] INFO - Epoch [5/80], Step [200/500] Loss: 1.0147
[2020-09-29 17:08:27,037] INFO - Epoch [5/80], Step [300/500] Loss: 1.0895
[2020-09-29 17:08:45,231] INFO - Epoch [5/80], Step [400/500] Loss: 1.1034
[2020-09-29 17:09:03,412] INFO - Epoch [5/80], Step [500/500] Loss: 0.9142
[2020-09-29 17:09:21,616] INFO - Epoch [6/80], Step [100/500] Loss: 0.8630
[2020-09-29 17:09:39,859] INFO - Epoch [6/80], Step [200/500] Loss: 0.7837
[2020-09-29 17:09:58,021] INFO - Epoch [6/80], Step [300/500] Loss: 1.0201
[2020-09-29 17:10:16,249] INFO - Epoch [6/80], Step [400/500] Loss: 0.9471
[2020-09-29 17:10:34,424] INFO - Epoch [6/80], Step [500/500] Loss: 0.6920
[2020-09-29 17:10:52,568] INFO - Epoch [7/80], Step [100/500] Loss: 0.7331
[2020-09-29 17:11:10,789] INFO - Epoch [7/80], Step [200/500] Loss: 1.0475
[2020-09-29 17:11:28,984] INFO - Epoch [7/80], Step [300/500] Loss: 0.8953
[2020-09-29 17:11:47,191] INFO - Epoch [7/80], Step [400/500] Loss: 0.7721
[2020-09-29 17:12:05,360] INFO - Epoch [7/80], Step [500/500] Loss: 1.0925
[2020-09-29 17:12:23,541] INFO - Epoch [8/80], Step [100/500] Loss: 0.7354
[2020-09-29 17:12:41,756] INFO - Epoch [8/80], Step [200/500] Loss: 0.8430
[2020-09-29 17:12:59,946] INFO - Epoch [8/80], Step [300/500] Loss: 0.8630
[2020-09-29 17:13:18,171] INFO - Epoch [8/80], Step [400/500] Loss: 0.7635
[2020-09-29 17:13:36,346] INFO - Epoch [8/80], Step [500/500] Loss: 0.7595
[2020-09-29 17:13:54,593] INFO - Epoch [9/80], Step [100/500] Loss: 0.8249
[2020-09-29 17:14:12,786] INFO - Epoch [9/80], Step [200/500] Loss: 0.7710
[2020-09-29 17:14:30,982] INFO - Epoch [9/80], Step [300/500] Loss: 0.7146
[2020-09-29 17:14:49,156] INFO - Epoch [9/80], Step [400/500] Loss: 0.7267
[2020-09-29 17:15:07,331] INFO - Epoch [9/80], Step [500/500] Loss: 0.8049
[2020-09-29 17:15:25,481] INFO - Epoch [10/80], Step [100/500] Loss: 0.7235
[2020-09-29 17:15:43,734] INFO - Epoch [10/80], Step [200/500] Loss: 0.6197
[2020-09-29 17:16:01,900] INFO - Epoch [10/80], Step [300/500] Loss: 0.5022
[2020-09-29 17:16:20,126] INFO - Epoch [10/80], Step [400/500] Loss: 0.8134
[2020-09-29 17:16:38,331] INFO - Epoch [10/80], Step [500/500] Loss: 0.8505
[2020-09-29 17:16:56,549] INFO - Epoch [11/80], Step [100/500] Loss: 0.8675
[2020-09-29 17:17:14,774] INFO - Epoch [11/80], Step [200/500] Loss: 0.4946
[2020-09-29 17:17:32,982] INFO - Epoch [11/80], Step [300/500] Loss: 0.5092
[2020-09-29 17:17:51,158] INFO - Epoch [11/80], Step [400/500] Loss: 0.6461
[2020-09-29 17:18:09,361] INFO - Epoch [11/80], Step [500/500] Loss: 0.7932
[2020-09-29 17:18:27,525] INFO - Epoch [12/80], Step [100/500] Loss: 0.6247
[2020-09-29 17:18:45,757] INFO - Epoch [12/80], Step [200/500] Loss: 0.5411
[2020-09-29 17:19:03,940] INFO - Epoch [12/80], Step [300/500] Loss: 0.6243
[2020-09-29 17:19:22,177] INFO - Epoch [12/80], Step [400/500] Loss: 0.5454
[2020-09-29 17:19:40,354] INFO - Epoch [12/80], Step [500/500] Loss: 0.7850
[2020-09-29 17:19:58,551] INFO - Epoch [13/80], Step [100/500] Loss: 0.7123
[2020-09-29 17:20:16,754] INFO - Epoch [13/80], Step [200/500] Loss: 0.5658
[2020-09-29 17:20:34,952] INFO - Epoch [13/80], Step [300/500] Loss: 0.5453
[2020-09-29 17:20:53,128] INFO - Epoch [13/80], Step [400/500] Loss: 0.6899
[2020-09-29 17:21:11,334] INFO - Epoch [13/80], Step [500/500] Loss: 0.7124
[2020-09-29 17:21:29,530] INFO - Epoch [14/80], Step [100/500] Loss: 0.5575
[2020-09-29 17:21:47,707] INFO - Epoch [14/80], Step [200/500] Loss: 0.5464
[2020-09-29 17:22:05,895] INFO - Epoch [14/80], Step [300/500] Loss: 0.4886
[2020-09-29 17:22:24,063] INFO - Epoch [14/80], Step [400/500] Loss: 0.6312
[2020-09-29 17:22:42,291] INFO - Epoch [14/80], Step [500/500] Loss: 0.5469
[2020-09-29 17:23:00,477] INFO - Epoch [15/80], Step [100/500] Loss: 0.5960
