[2020-09-29 16:54:24,999] INFO - Some torch.cuda functionality unavailable
[2020-09-29 17:16:19,478] INFO - Epoch [14/80], Step [400/500] Loss: 0.4412
[2020-09-29 17:16:38,027] INFO - Epoch [14/80], Step [500/500] Loss: 0.5674
[2020-09-29 17:16:56,564] INFO - Epoch [15/80], Step [100/500] Loss: 0.3997
[2020-09-29 17:17:15,090] INFO - Epoch [15/80], Step [200/500] Loss: 0.6798
[2020-09-29 17:17:33,671] INFO - Epoch [15/80], Step [300/500] Loss: 0.6266
[2020-09-29 17:17:52,190] INFO - Epoch [15/80], Step [400/500] Loss: 0.4482
[2020-09-29 17:18:10,737] INFO - Epoch [15/80], Step [500/500] Loss: 0.5032
[2020-09-29 17:18:29,337] INFO - Epoch [16/80], Step [100/500] Loss: 0.5224
[2020-09-29 17:18:47,923] INFO - Epoch [16/80], Step [200/500] Loss: 0.5487
[2020-09-29 17:19:06,445] INFO - Epoch [16/80], Step [300/500] Loss: 0.7194
[2020-09-29 17:19:25,025] INFO - Epoch [16/80], Step [400/500] Loss: 0.4966
[2020-09-29 17:19:43,634] INFO - Epoch [16/80], Step [500/500] Loss: 0.4873
[2020-09-29 17:20:02,090] INFO - Epoch [17/80], Step [100/500] Loss: 0.5800
[2020-09-29 17:20:20,618] INFO - Epoch [17/80], Step [200/500] Loss: 0.5894
[2020-09-29 17:20:39,163] INFO - Epoch [17/80], Step [300/500] Loss: 0.4482
[2020-09-29 17:20:57,667] INFO - Epoch [17/80], Step [400/500] Loss: 0.5256
[2020-09-29 17:21:16,169] INFO - Epoch [17/80], Step [500/500] Loss: 0.4471
[2020-09-29 17:21:34,689] INFO - Epoch [18/80], Step [100/500] Loss: 0.7058
[2020-09-29 17:21:53,187] INFO - Epoch [18/80], Step [200/500] Loss: 0.6200
[2020-09-29 17:22:11,671] INFO - Epoch [18/80], Step [300/500] Loss: 0.4517
[2020-09-29 17:22:30,200] INFO - Epoch [18/80], Step [400/500] Loss: 0.6002
[2020-09-29 17:22:48,739] INFO - Epoch [18/80], Step [500/500] Loss: 0.6768
[2020-09-29 17:23:07,221] INFO - Epoch [19/80], Step [100/500] Loss: 0.6423
[2020-09-29 17:23:25,779] INFO - Epoch [19/80], Step [200/500] Loss: 0.4303
[2020-09-29 17:23:44,296] INFO - Epoch [19/80], Step [300/500] Loss: 0.4391
[2020-09-29 17:24:02,752] INFO - Epoch [19/80], Step [400/500] Loss: 0.4280
[2020-09-29 17:24:21,302] INFO - Epoch [19/80], Step [500/500] Loss: 0.5661
[2020-09-29 17:24:39,875] INFO - Epoch [20/80], Step [100/500] Loss: 0.5418
[2020-09-29 17:24:58,349] INFO - Epoch [20/80], Step [200/500] Loss: 0.3788
[2020-09-29 17:25:16,886] INFO - Epoch [20/80], Step [300/500] Loss: 0.4784
[2020-09-29 17:25:35,408] INFO - Epoch [20/80], Step [400/500] Loss: 0.4780
[2020-09-29 17:25:53,901] INFO - Epoch [20/80], Step [500/500] Loss: 0.4039
