[2020-09-29 16:58:40,886] INFO - Some torch.cuda functionality unavailable
[2020-09-29 16:59:23,487] INFO - Epoch [1/80], Step [100/500] Loss: 1.9294
[2020-09-29 16:59:42,821] INFO - Epoch [1/80], Step [200/500] Loss: 1.7149
[2020-09-29 17:00:02,301] INFO - Epoch [1/80], Step [300/500] Loss: 1.6422
[2020-09-29 17:00:21,796] INFO - Epoch [1/80], Step [400/500] Loss: 1.4534
[2020-09-29 17:00:41,315] INFO - Epoch [1/80], Step [500/500] Loss: 1.5398
[2020-09-29 17:01:00,787] INFO - Epoch [2/80], Step [100/500] Loss: 1.4386
[2020-09-29 17:01:20,263] INFO - Epoch [2/80], Step [200/500] Loss: 1.5029
[2020-09-29 17:01:39,963] INFO - Epoch [2/80], Step [300/500] Loss: 1.2907
[2020-09-29 17:01:59,392] INFO - Epoch [2/80], Step [400/500] Loss: 1.2269
[2020-09-29 17:02:19,104] INFO - Epoch [2/80], Step [500/500] Loss: 1.3214
[2020-09-29 17:02:38,685] INFO - Epoch [3/80], Step [100/500] Loss: 1.3955
[2020-09-29 17:02:57,958] INFO - Epoch [3/80], Step [200/500] Loss: 1.2235
[2020-09-29 17:03:17,391] INFO - Epoch [3/80], Step [300/500] Loss: 1.2945
[2020-09-29 17:03:36,776] INFO - Epoch [3/80], Step [400/500] Loss: 1.1957
[2020-09-29 17:03:56,152] INFO - Epoch [3/80], Step [500/500] Loss: 1.3581
[2020-09-29 17:04:15,362] INFO - Epoch [4/80], Step [100/500] Loss: 1.5366
[2020-09-29 17:04:34,583] INFO - Epoch [4/80], Step [200/500] Loss: 1.2693
[2020-09-29 17:04:53,715] INFO - Epoch [4/80], Step [300/500] Loss: 1.3177
[2020-09-29 17:05:12,943] INFO - Epoch [4/80], Step [400/500] Loss: 1.2625
[2020-09-29 17:05:32,485] INFO - Epoch [4/80], Step [500/500] Loss: 1.1531
[2020-09-29 17:05:52,471] INFO - Epoch [5/80], Step [100/500] Loss: 1.1486
[2020-09-29 17:06:12,515] INFO - Epoch [5/80], Step [200/500] Loss: 1.0789
[2020-09-29 17:06:32,144] INFO - Epoch [5/80], Step [300/500] Loss: 1.1327
[2020-09-29 17:06:51,521] INFO - Epoch [5/80], Step [400/500] Loss: 1.0070
[2020-09-29 17:07:11,039] INFO - Epoch [5/80], Step [500/500] Loss: 1.0278
[2020-09-29 17:07:30,520] INFO - Epoch [6/80], Step [100/500] Loss: 1.0941
[2020-09-29 17:07:49,953] INFO - Epoch [6/80], Step [200/500] Loss: 1.1757
[2020-09-29 17:08:09,998] INFO - Epoch [6/80], Step [300/500] Loss: 1.2763
[2020-09-29 17:08:29,235] INFO - Epoch [6/80], Step [400/500] Loss: 1.0020
[2020-09-29 17:08:48,516] INFO - Epoch [6/80], Step [500/500] Loss: 1.0001
[2020-09-29 17:09:07,865] INFO - Epoch [7/80], Step [100/500] Loss: 1.0668
[2020-09-29 17:09:27,230] INFO - Epoch [7/80], Step [200/500] Loss: 1.0482
[2020-09-29 17:09:46,610] INFO - Epoch [7/80], Step [300/500] Loss: 1.2417
[2020-09-29 17:10:05,792] INFO - Epoch [7/80], Step [400/500] Loss: 1.2439
[2020-09-29 17:10:25,207] INFO - Epoch [7/80], Step [500/500] Loss: 1.0313
[2020-09-29 17:10:44,604] INFO - Epoch [8/80], Step [100/500] Loss: 1.0133
[2020-09-29 17:11:04,135] INFO - Epoch [8/80], Step [200/500] Loss: 1.0390
[2020-09-29 17:11:23,560] INFO - Epoch [8/80], Step [300/500] Loss: 0.9909
[2020-09-29 17:11:42,943] INFO - Epoch [8/80], Step [400/500] Loss: 0.9474
[2020-09-29 17:12:02,407] INFO - Epoch [8/80], Step [500/500] Loss: 0.8676
[2020-09-29 17:12:21,891] INFO - Epoch [9/80], Step [100/500] Loss: 1.0654
[2020-09-29 17:12:41,358] INFO - Epoch [9/80], Step [200/500] Loss: 0.9215
[2020-09-29 17:13:00,633] INFO - Epoch [9/80], Step [300/500] Loss: 1.0477
[2020-09-29 17:13:19,915] INFO - Epoch [9/80], Step [400/500] Loss: 1.2480
[2020-09-29 17:13:39,199] INFO - Epoch [9/80], Step [500/500] Loss: 0.9341
[2020-09-29 17:13:58,403] INFO - Epoch [10/80], Step [100/500] Loss: 1.1837
[2020-09-29 17:14:17,721] INFO - Epoch [10/80], Step [200/500] Loss: 0.9674
[2020-09-29 17:14:37,039] INFO - Epoch [10/80], Step [300/500] Loss: 0.9670
[2020-09-29 17:14:56,095] INFO - Epoch [10/80], Step [400/500] Loss: 0.8774
[2020-09-29 17:15:15,430] INFO - Epoch [10/80], Step [500/500] Loss: 0.8321
[2020-09-29 17:15:34,954] INFO - Epoch [11/80], Step [100/500] Loss: 0.8050
[2020-09-29 17:15:54,392] INFO - Epoch [11/80], Step [200/500] Loss: 0.9714
[2020-09-29 17:16:14,018] INFO - Epoch [11/80], Step [300/500] Loss: 1.0093
[2020-09-29 17:16:34,341] INFO - Epoch [11/80], Step [400/500] Loss: 0.8667
[2020-09-29 17:16:53,881] INFO - Epoch [11/80], Step [500/500] Loss: 1.0641
[2020-09-29 17:17:13,513] INFO - Epoch [12/80], Step [100/500] Loss: 0.9302
