[2020-09-29 05:03:05,579] INFO - Some torch.cuda functionality unavailable
[2020-09-29 05:05:11,483] INFO - Epoch [1/80], Step [100/500] Loss: 1.7266
[2020-09-29 05:05:22,254] INFO - Epoch [1/80], Step [200/500] Loss: 1.5662
[2020-09-29 05:05:32,998] INFO - Epoch [1/80], Step [300/500] Loss: 1.3075
[2020-09-29 05:06:36,791] INFO - Epoch [1/80], Step [400/500] Loss: 1.2526
[2020-09-29 05:09:02,666] INFO - Epoch [1/80], Step [500/500] Loss: 1.1071
[2020-09-29 05:10:14,824] INFO - Epoch [2/80], Step [100/500] Loss: 1.1096
[2020-09-29 05:10:25,587] INFO - Epoch [2/80], Step [200/500] Loss: 0.8543
[2020-09-29 05:10:37,252] INFO - Epoch [2/80], Step [300/500] Loss: 0.8298
[2020-09-29 05:12:04,562] INFO - Epoch [2/80], Step [400/500] Loss: 0.9653
[2020-09-29 05:14:23,454] INFO - Epoch [2/80], Step [500/500] Loss: 0.7788
[2020-09-29 05:15:16,566] INFO - Epoch [3/80], Step [100/500] Loss: 1.0539
[2020-09-29 05:15:27,432] INFO - Epoch [3/80], Step [200/500] Loss: 0.9754
[2020-09-29 05:15:40,171] INFO - Epoch [3/80], Step [300/500] Loss: 0.8368
[2020-09-29 05:17:37,289] INFO - Epoch [3/80], Step [400/500] Loss: 0.9813
[2020-09-29 05:19:53,920] INFO - Epoch [3/80], Step [500/500] Loss: 0.6699
[2020-09-29 05:20:18,575] INFO - Epoch [4/80], Step [100/500] Loss: 0.5987
[2020-09-29 05:20:29,372] INFO - Epoch [4/80], Step [200/500] Loss: 0.7829
[2020-09-29 05:20:45,967] INFO - Epoch [4/80], Step [300/500] Loss: 0.7614
[2020-09-29 05:22:52,608] INFO - Epoch [4/80], Step [400/500] Loss: 0.6676
[2020-09-29 05:25:09,748] INFO - Epoch [4/80], Step [500/500] Loss: 0.7569
[2020-09-29 05:25:20,517] INFO - Epoch [5/80], Step [100/500] Loss: 0.8596
[2020-09-29 05:25:31,261] INFO - Epoch [5/80], Step [200/500] Loss: 0.6924
[2020-09-29 05:26:08,399] INFO - Epoch [5/80], Step [300/500] Loss: 0.6628
[2020-09-29 05:28:27,227] INFO - Epoch [5/80], Step [400/500] Loss: 0.6540
[2020-09-29 05:30:11,190] INFO - Epoch [5/80], Step [500/500] Loss: 0.6558
[2020-09-29 05:30:22,014] INFO - Epoch [6/80], Step [100/500] Loss: 0.6263
[2020-09-29 05:30:32,798] INFO - Epoch [6/80], Step [200/500] Loss: 0.6569
[2020-09-29 05:31:31,419] INFO - Epoch [6/80], Step [300/500] Loss: 0.7422
[2020-09-29 05:33:42,755] INFO - Epoch [6/80], Step [400/500] Loss: 0.4811
[2020-09-29 05:35:13,041] INFO - Epoch [6/80], Step [500/500] Loss: 0.6558
[2020-09-29 05:35:23,947] INFO - Epoch [7/80], Step [100/500] Loss: 0.5329
[2020-09-29 05:35:34,916] INFO - Epoch [7/80], Step [200/500] Loss: 0.5478
[2020-09-29 05:36:52,791] INFO - Epoch [7/80], Step [300/500] Loss: 0.6248
[2020-09-29 05:39:10,660] INFO - Epoch [7/80], Step [400/500] Loss: 0.5655
[2020-09-29 05:40:15,167] INFO - Epoch [7/80], Step [500/500] Loss: 0.5392
[2020-09-29 05:40:25,995] INFO - Epoch [8/80], Step [100/500] Loss: 0.6495
[2020-09-29 05:40:37,816] INFO - Epoch [8/80], Step [200/500] Loss: 0.6786
[2020-09-29 05:42:20,600] INFO - Epoch [8/80], Step [300/500] Loss: 0.6180
[2020-09-29 05:44:27,822] INFO - Epoch [8/80], Step [400/500] Loss: 0.4404
[2020-09-29 05:45:16,614] INFO - Epoch [8/80], Step [500/500] Loss: 0.4741
[2020-09-29 05:45:27,371] INFO - Epoch [9/80], Step [100/500] Loss: 0.5591
[2020-09-29 05:45:40,052] INFO - Epoch [9/80], Step [200/500] Loss: 0.4860
[2020-09-29 05:47:37,912] INFO - Epoch [9/80], Step [300/500] Loss: 0.6891
[2020-09-29 05:49:49,962] INFO - Epoch [9/80], Step [400/500] Loss: 0.5671
[2020-09-29 05:50:18,357] INFO - Epoch [9/80], Step [500/500] Loss: 0.5156
[2020-09-29 05:50:29,161] INFO - Epoch [10/80], Step [100/500] Loss: 0.5821
[2020-09-29 05:50:43,994] INFO - Epoch [10/80], Step [200/500] Loss: 0.5065
[2020-09-29 05:53:00,576] INFO - Epoch [10/80], Step [300/500] Loss: 0.3938
[2020-09-29 05:55:09,575] INFO - Epoch [10/80], Step [400/500] Loss: 0.5334
[2020-09-29 05:55:20,397] INFO - Epoch [10/80], Step [500/500] Loss: 0.5068
[2020-09-29 05:55:31,228] INFO - Epoch [11/80], Step [100/500] Loss: 0.5061
[2020-09-29 05:56:05,483] INFO - Epoch [11/80], Step [200/500] Loss: 0.3439
[2020-09-29 05:58:23,567] INFO - Epoch [11/80], Step [300/500] Loss: 0.5424
[2020-09-29 06:00:11,278] INFO - Epoch [11/80], Step [400/500] Loss: 0.4095
[2020-09-29 06:00:22,122] INFO - Epoch [11/80], Step [500/500] Loss: 0.5033
[2020-09-29 06:00:32,876] INFO - Epoch [12/80], Step [100/500] Loss: 0.4470
[2020-09-29 06:01:33,071] INFO - Epoch [12/80], Step [200/500] Loss: 0.3708
[2020-09-29 06:03:54,204] INFO - Epoch [12/80], Step [300/500] Loss: 0.4946
[2020-09-29 06:05:13,755] INFO - Epoch [12/80], Step [400/500] Loss: 0.4180
[2020-09-29 06:05:24,519] INFO - Epoch [12/80], Step [500/500] Loss: 0.5766
[2020-09-29 06:05:35,793] INFO - Epoch [13/80], Step [100/500] Loss: 0.4997
[2020-09-29 06:06:59,806] INFO - Epoch [13/80], Step [200/500] Loss: 0.5098
[2020-09-29 06:09:15,589] INFO - Epoch [13/80], Step [300/500] Loss: 0.4097
[2020-09-29 06:10:15,577] INFO - Epoch [13/80], Step [400/500] Loss: 0.5359
[2020-09-29 06:10:26,352] INFO - Epoch [13/80], Step [500/500] Loss: 0.4483
[2020-09-29 06:10:38,233] INFO - Epoch [14/80], Step [100/500] Loss: 0.2680
[2020-09-29 06:12:14,374] INFO - Epoch [14/80], Step [200/500] Loss: 0.3883
[2020-09-29 06:14:26,572] INFO - Epoch [14/80], Step [300/500] Loss: 0.4541
[2020-09-29 06:15:16,576] INFO - Epoch [14/80], Step [400/500] Loss: 0.3401
[2020-09-29 06:15:27,385] INFO - Epoch [14/80], Step [500/500] Loss: 0.4306
[2020-09-29 06:15:39,865] INFO - Epoch [15/80], Step [100/500] Loss: 0.3496
[2020-09-29 06:17:37,789] INFO - Epoch [15/80], Step [200/500] Loss: 0.4148
[2020-09-29 06:19:59,226] INFO - Epoch [15/80], Step [300/500] Loss: 0.4450
[2020-09-29 06:20:19,383] INFO - Epoch [15/80], Step [400/500] Loss: 0.3993
[2020-09-29 06:20:30,131] INFO - Epoch [15/80], Step [500/500] Loss: 0.4646
[2020-09-29 06:20:53,422] INFO - Epoch [16/80], Step [100/500] Loss: 0.4734
[2020-09-29 06:23:18,695] INFO - Epoch [16/80], Step [200/500] Loss: 0.4785
[2020-09-29 06:25:11,270] INFO - Epoch [16/80], Step [300/500] Loss: 0.5466
[2020-09-29 06:25:22,735] INFO - Epoch [16/80], Step [400/500] Loss: 0.3116
[2020-09-29 06:25:34,136] INFO - Epoch [16/80], Step [500/500] Loss: 0.3688
[2020-09-29 06:27:22,621] INFO - Epoch [17/80], Step [100/500] Loss: 0.3092
[2020-09-29 06:30:10,823] INFO - Epoch [17/80], Step [200/500] Loss: 0.4137
[2020-09-29 06:30:22,495] INFO - Epoch [17/80], Step [300/500] Loss: 0.4345
[2020-09-29 06:30:33,915] INFO - Epoch [17/80], Step [400/500] Loss: 0.4315
[2020-09-29 06:32:19,642] INFO - Epoch [17/80], Step [500/500] Loss: 0.4073
[2020-09-29 06:34:38,705] INFO - Epoch [18/80], Step [100/500] Loss: 0.3932
[2020-09-29 06:35:17,384] INFO - Epoch [18/80], Step [200/500] Loss: 0.4184
[2020-09-29 06:35:28,227] INFO - Epoch [18/80], Step [300/500] Loss: 0.5073
[2020-09-29 06:35:41,754] INFO - Epoch [18/80], Step [400/500] Loss: 0.3675
[2020-09-29 06:37:41,938] INFO - Epoch [18/80], Step [500/500] Loss: 0.4385
[2020-09-29 06:39:55,366] INFO - Epoch [19/80], Step [100/500] Loss: 0.3635
[2020-09-29 06:40:19,003] INFO - Epoch [19/80], Step [200/500] Loss: 0.3153
[2020-09-29 06:40:29,727] INFO - Epoch [19/80], Step [300/500] Loss: 0.2910
[2020-09-29 06:40:51,815] INFO - Epoch [19/80], Step [400/500] Loss: 0.4689
[2020-09-29 06:43:05,049] INFO - Epoch [19/80], Step [500/500] Loss: 0.3428
[2020-09-29 06:45:09,731] INFO - Epoch [20/80], Step [100/500] Loss: 0.1906
[2020-09-29 06:45:20,518] INFO - Epoch [20/80], Step [200/500] Loss: 0.3402
[2020-09-29 06:45:31,270] INFO - Epoch [20/80], Step [300/500] Loss: 0.4676
[2020-09-29 06:46:10,878] INFO - Epoch [20/80], Step [400/500] Loss: 0.4183
[2020-09-29 06:48:26,597] INFO - Epoch [20/80], Step [500/500] Loss: 0.3427
[2020-09-29 06:50:12,355] INFO - Epoch [21/80], Step [100/500] Loss: 0.3037
[2020-09-29 06:50:23,200] INFO - Epoch [21/80], Step [200/500] Loss: 0.3173
[2020-09-29 06:50:33,907] INFO - Epoch [21/80], Step [300/500] Loss: 0.3159
[2020-09-29 06:51:39,660] INFO - Epoch [21/80], Step [400/500] Loss: 0.3513
[2020-09-29 06:53:44,878] INFO - Epoch [21/80], Step [500/500] Loss: 0.3640
[2020-09-29 06:55:14,042] INFO - Epoch [22/80], Step [100/500] Loss: 0.2679
[2020-09-29 06:55:25,008] INFO - Epoch [22/80], Step [200/500] Loss: 0.3078
[2020-09-29 06:55:36,395] INFO - Epoch [22/80], Step [300/500] Loss: 0.2686
[2020-09-29 06:57:02,239] INFO - Epoch [22/80], Step [400/500] Loss: 0.2793
[2020-09-29 06:59:14,177] INFO - Epoch [22/80], Step [500/500] Loss: 0.2407
[2020-09-29 07:00:15,566] INFO - Epoch [23/80], Step [100/500] Loss: 0.3094
[2020-09-29 07:00:26,466] INFO - Epoch [23/80], Step [200/500] Loss: 0.2393
[2020-09-29 07:00:38,414] INFO - Epoch [23/80], Step [300/500] Loss: 0.2668
[2020-09-29 07:02:17,596] INFO - Epoch [23/80], Step [400/500] Loss: 0.4917
[2020-09-29 07:04:40,925] INFO - Epoch [23/80], Step [500/500] Loss: 0.2906
[2020-09-29 07:05:17,675] INFO - Epoch [24/80], Step [100/500] Loss: 0.2093
[2020-09-29 07:05:28,458] INFO - Epoch [24/80], Step [200/500] Loss: 0.3454
[2020-09-29 07:05:42,392] INFO - Epoch [24/80], Step [300/500] Loss: 0.1755
[2020-09-29 07:07:51,765] INFO - Epoch [24/80], Step [400/500] Loss: 0.3338
[2020-09-29 07:10:09,491] INFO - Epoch [24/80], Step [500/500] Loss: 0.1925
[2020-09-29 07:10:20,232] INFO - Epoch [25/80], Step [100/500] Loss: 0.2003
[2020-09-29 07:10:31,036] INFO - Epoch [25/80], Step [200/500] Loss: 0.2713
[2020-09-29 07:11:06,081] INFO - Epoch [25/80], Step [300/500] Loss: 0.2175
[2020-09-29 07:13:17,149] INFO - Epoch [25/80], Step [400/500] Loss: 0.2892
[2020-09-29 07:15:11,829] INFO - Epoch [25/80], Step [500/500] Loss: 0.1308
[2020-09-29 07:15:22,607] INFO - Epoch [26/80], Step [100/500] Loss: 0.1719
[2020-09-29 07:15:33,370] INFO - Epoch [26/80], Step [200/500] Loss: 0.2571
[2020-09-29 07:16:30,226] INFO - Epoch [26/80], Step [300/500] Loss: 0.2724
[2020-09-29 07:18:47,357] INFO - Epoch [26/80], Step [400/500] Loss: 0.3003
[2020-09-29 07:20:13,340] INFO - Epoch [26/80], Step [500/500] Loss: 0.2322
[2020-09-29 07:20:24,079] INFO - Epoch [27/80], Step [100/500] Loss: 0.1808
[2020-09-29 07:20:35,096] INFO - Epoch [27/80], Step [200/500] Loss: 0.3119
[2020-09-29 07:21:53,490] INFO - Epoch [27/80], Step [300/500] Loss: 0.2527
[2020-09-29 07:24:02,706] INFO - Epoch [27/80], Step [400/500] Loss: 0.2518
[2020-09-29 07:25:14,118] INFO - Epoch [27/80], Step [500/500] Loss: 0.2652
[2020-09-29 07:25:24,860] INFO - Epoch [28/80], Step [100/500] Loss: 0.2282
[2020-09-29 07:25:36,112] INFO - Epoch [28/80], Step [200/500] Loss: 0.2513
